time,temperatura,entrada
102000,86.3,0
102150,86.3,0
102300,86.4,0
102450,86.4,0
102600,86.4,0
102750,86.4,0
102900,86.4,0
103050,86.4,0
103200,86.5,0
103350,86.5,0
103500,86.4,0
103650,86.4,1
103800,86.4,0
103950,86.5,0
104100,86.5,0
104250,86.5,0
104400,86.6,0
104550,86.6,0
104700,86.7,0
104850,86.7,0
105000,86.7,0
105150,86.7,0
105300,86.7,0
105450,86.7,0
105600,86.7,0
105750,86.7,0
105900,86.8,0
106050,86.8,0
106200,86.8,0
106350,86.8,0
106500,86.8,0
106650,86.8,0
106800,86.9,0
106950,86.9,0
107100,86.9,0
107250,86.9,0
107400,86.9,0
107550,87,0
107700,87,0
107850,87,0
108000,87,0
108150,87,0
108300,87.1,0
108450,87.1,0
108600,87.1,0
108750,87.1,0
108900,87.1,0
109050,87.1,0
109200,87.1,0
109350,87.1,0
109500,87.1,0
109650,87.1,0
109800,87.1,0
109950,87.2,0
110100,87.2,0
110250,87.2,0
110400,87.2,0
110550,87.2,0
110700,87.2,0
110850,87.2,0
111000,87.2,0
111150,87.2,0
111300,87.2,0
111450,87.2,0
111600,87.2,0
111750,87.2,0
111900,87.2,0
112050,87.2,0
112200,87.2,0
112350,87.2,0
112500,87.2,0
112650,87.2,0
112800,87.2,0
112950,87.2,0
113100,87.2,0
113250,87.2,0
113400,87.2,0
113550,87.2,0
113700,87.2,0
113850,87.2,0
114000,87.2,0
114150,87.2,0
114300,87.2,0
114450,87.2,0
114600,87.2,0
114750,87.2,0
114900,87.2,0
115050,87.2,0
115200,87.2,0
115350,87.2,0
115500,87.2,0
115650,87.2,0
115800,87.2,0
115950,87.2,0
116100,87.2,0
116250,87.2,0
116400,87.2,0
116550,87.2,0
116700,87.1,0
116850,87.1,1
117000,87.1,0
117150,87.2,0
117300,87.2,0
117450,87.1,0
117600,87.1,1
117750,87.1,0
117900,87.1,0
118050,87.1,0
118200,87.1,0
118350,87.1,0
118500,87.1,0
118650,87,0
118800,87,1
118950,87,0
119100,87,0
119250,87,0
119400,87,0
119550,87,0
119700,87,0
119850,87,0
120000,87,0
120150,87,0
120300,87,0
120450,87,0
120600,87,0
120750,87,0
120900,87,0
121050,87,0
121200,87,0
121350,87,0
121500,86.9,1
121650,86.9,0
121800,86.9,0
121950,86.9,0
122100,86.9,0
122250,86.9,0
122400,86.9,0
122550,86.9,0
122700,86.9,0
122850,86.9,0
123000,86.9,0
123150,86.9,0
123300,86.9,0
123450,86.8,0
123600,86.8,1
123750,86.8,0
123900,86.8,0
124050,86.8,0
124200,86.8,0
124350,86.8,0
124500,86.8,0
124650,86.8,0
124800,86.8,0
124950,86.8,0
125100,86.8,0
125250,86.8,0
125400,86.7,0
125550,86.7,1
125700,86.7,0
125850,86.7,0
126000,86.7,0
126150,86.7,0
126300,86.7,0
126450,86.7,0
126600,86.7,0
126750,86.7,0
126900,86.7,0
127050,86.6,1
127200,86.6,0
127350,86.6,0
127500,86.6,0
127650,86.6,0
127800,86.5,1
127950,86.5,0
128100,86.5,0
128250,86.5,0
128400,86.5,0
128550,86.5,0
128700,86.5,0
128850,86.5,0
129000,86.5,0
129150,86.5,0
129300,86.4,0
129450,86.4,1
129600,86.4,0
129750,86.4,0
129900,86.4,0
130050,86.4,0
130200,86.4,0
130350,86.4,0
130500,86.4,0
130650,86.4,0
130800,86.4,0
130950,86.4,0
131100,86.4,0
131250,86.4,0
131400,86.3,1
131550,86.3,0
131700,86.2,0
131850,86.2,1
132000,86.2,0
132150,86.2,0
132300,86.2,0
132450,86.2,0
132600,86.2,0
132750,86.2,0
132900,86.2,0
133050,86.2,0
133200,86.2,0
133350,86.1,1
133500,86.1,0
133650,86.1,0
133800,86.1,0
133950,86.1,0
134100,86,0
134250,86,1
134400,86,0
134550,86,0
134700,86,0
134850,85.9,0
135000,85.9,1
135150,85.9,0
135300,85.9,0
135450,85.9,0
135600,85.8,0
135750,85.8,1
135900,85.8,0
136050,85.8,0
136200,85.8,0
136350,85.8,0
136500,85.8,0
136650,85.8,0
136800,85.7,0
136950,85.7,1
137100,85.7,0
137250,85.7,0
137400,85.7,0
137550,85.7,0
137700,85.7,0
137850,85.7,0
138000,85.7,0
138150,85.7,0
138300,85.7,0
138450,85.7,0
138600,85.7,0
138750,85.7,0
138900,85.6,1
139050,85.6,0
139200,85.6,0
139350,85.6,0
139500,85.6,0
139650,85.6,0
139800,85.6,0
139950,85.6,0
140100,85.6,0
140250,85.6,0
140400,85.5,0
140550,85.5,1
140700,85.5,0
140850,85.5,0
141000,85.5,0
141150,85.5,0
141300,85.4,1
141450,85.4,0
141600,85.4,0
141750,85.4,0
141900,85.4,0
142050,85.4,0
142200,85.4,0
142350,85.4,0
142500,85.3,1
142650,85.3,0
142800,85.3,0
142950,85.3,0
143100,85.3,0
143250,85.3,0
143400,85.3,0
143550,85.3,0
143700,85.3,0
143850,85.3,0
144000,85.3,0
144150,85.3,0
144300,85.3,0
144450,85.3,0
144600,85.3,0
144750,85.3,0
144900,85.3,0
145050,85.3,0
145200,85.2,0
145350,85.2,1
145500,85.2,0
145650,85.2,0
145800,85.2,0
145950,85.2,0
146100,85.2,0
146250,85.2,0
146400,85.2,0
146550,85.2,0
146700,85.2,0
146850,85.1,0
147000,85.1,1
147150,85.1,0
147300,85.1,0
147450,85.1,0
147600,85,0
147750,85,1
147900,85,0
148050,85,0
148200,85,0
148350,85,0
148500,85,0
148650,85,0
148800,85,0
148950,85,0
149100,85,0
149250,85,0
149400,85,0
149550,85,0
149700,85,0
149850,85,0
150000,85,0
150150,85,0
150300,85,0
150450,84.9,0
150600,84.9,1
150750,84.9,0
150900,84.9,0
151050,84.9,0
151200,84.9,0
151350,84.9,0
151500,84.9,0
151650,84.8,1
151800,84.8,0
151950,84.8,0
152100,84.8,0
152250,84.8,0
152400,84.7,0
152550,84.7,1
152700,84.7,0
152850,84.7,0
153000,84.7,0
153150,84.7,0
153300,84.7,0
153450,84.7,0
153600,84.7,0
153750,84.7,0
153900,84.7,0
154050,84.7,0
154200,84.7,0
154350,84.7,0
154500,84.7,0
154650,84.7,0
154800,84.6,0
154950,84.6,1
155100,84.6,0
155250,84.6,0
155400,84.6,0
155550,84.6,0
155700,84.6,0
155850,84.6,0
156000,84.6,0
156150,84.6,0
156300,84.6,0
156450,84.5,1
156600,84.5,0
156750,84.5,0
156900,84.5,0
157050,84.5,0
157200,84.5,0
157350,84.5,0
157500,84.5,0
157650,84.5,0
157800,84.5,0
157950,84.4,0
158100,84.4,1
158250,84.4,0
158400,84.4,0
158550,84.4,0
158700,84.4,0
158850,84.4,0
159000,84.4,0
159150,84.4,0
159300,84.4,0
159450,84.4,0
159600,84.4,0
159750,84.4,0
159900,84.3,0
160050,84.3,1
160200,84.3,0
160350,84.3,0
160500,84.3,0
160650,84.3,0
160800,84.3,0
160950,84.3,0
161100,84.2,0
161250,84.2,1
161400,84.2,0
161550,84.2,0
161700,84.2,0
161850,84.2,0
162000,84.2,0
162150,84.2,0
162300,84.1,0
162450,84.1,1
162600,84.1,0
162750,84.1,0
162900,84.1,0
163050,84.1,0
163200,84.1,0
163350,84.1,0
163500,84,0
163650,84,1
163800,84,0
163950,84,0
164100,84,0
164250,84,0
164400,84,0
164550,84,0
164700,84,0
164850,84,0
165000,84,0
165150,84,0
165300,84,0
165450,84,0
165600,84,0
165750,84,0
165900,83.9,0
166050,83.9,1
166200,83.9,0
166350,83.9,0
166500,83.9,0
166650,83.9,0
166800,83.9,0
166950,83.9,0
167100,83.8,0
167250,83.8,1
167400,83.8,0
167550,83.8,0
167700,83.8,0
167850,83.8,0
168000,83.8,0
168150,83.8,0
168300,83.7,0
168450,83.7,1
168600,83.7,0
168750,83.7,0
168900,83.7,0
169050,83.7,0
169200,83.7,0
169350,83.7,0
169500,83.7,0
169650,83.7,0
169800,83.7,0
169950,83.7,0
170100,83.7,0
170250,83.7,0
170400,83.7,0
170550,83.7,0
170700,83.6,0
170850,83.6,1
171000,83.6,0
171150,83.6,0
171300,83.6,0
171450,83.6,0
171600,83.6,0
171750,83.6,0
171900,83.6,0
172050,83.6,0
172200,83.6,0
172350,83.5,1
172500,83.5,0
172650,83.5,0
172800,83.5,0
172950,83.5,0
173100,83.5,0
173250,83.5,0
173400,83.5,0
173550,83.5,0
173700,83.5,0
173850,83.5,0
174000,83.5,0
174150,83.5,0
174300,83.4,1
174450,83.4,0
174600,83.4,0
174750,83.4,0
174900,83.4,0
175050,83.3,0
175200,83.3,1
175350,83.3,0
175500,83.3,0
175650,83.3,0
175800,83.2,0
175950,83.2,1
176100,83.2,0
176250,83.2,0
176400,83.2,0
176550,83.2,0
176700,83.2,0
176850,83.2,0
177000,83.2,0
177150,83.2,0
177300,83.2,0
177450,83.2,0
177600,83.2,0
177750,83.2,0
177900,83.2,0
178050,83.2,0
178200,83.1,0
178350,83.1,1
178500,83.1,0
178650,83.1,0
178800,83.1,0
178950,83.1,0
179100,83,1
179250,83,0
179400,83,0
179550,83,0
179700,83,0
179850,82.9,0
180000,82.9,1
180150,82.9,0
180300,82.8,1
180450,82.8,0
180600,82.7,0
180750,82.7,1
180900,82.7,0
181050,82.7,0
181200,82.7,0
181350,82.7,0
181500,82.7,0
181650,82.7,0
181800,82.7,0
181950,82.7,0
182100,82.7,0
182250,82.7,0
182400,82.7,0
182550,82.7,0
182700,82.7,0
182850,82.7,0
183000,82.7,0
183150,82.7,0
183300,82.7,0
183450,82.6,1
183600,82.6,0
183750,82.6,0
183900,82.5,1
184050,82.5,0
184200,82.5,0
184350,82.5,0
184500,82.5,0
184650,82.5,0
184800,82.5,0
