time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,PWM
1970-1-1-0:41:42,31.8,31.4,1.791832,1.804748,TRUE,TRUE,0.0
1970-1-1-0:41:42,31.8,31.4,1.837711,1.827734,TRUE,TRUE,0.0
1970-1-1-0:41:42,31.9,31.4,1.860651,1.827734,TRUE,TRUE,0.0
1970-1-1-0:41:43,31.9,31.4,1.814771,1.816241,TRUE,TRUE,0.0
1970-1-1-0:41:43,31.9,31.4,1.803301,1.816241,TRUE,TRUE,0.0
1970-1-1-0:41:44,31.9,31.4,1.814771,1.816241,TRUE,TRUE,0.0
1970-1-1-0:41:44,31.8,31.4,1.803301,1.816241,TRUE,TRUE,0.0
1970-1-1-0:41:44,31.8,31.4,1.803301,1.816241,TRUE,TRUE,0.0
1970-1-1-0:41:45,31.8,31.4,1.791832,1.816241,TRUE,TRUE,0.0
1970-1-1-0:41:45,31.8,31.4,1.791832,1.816241,TRUE,TRUE,0.0
1970-1-1-0:41:46,31.8,31.4,1.791832,1.816241,TRUE,FALSE,0.0
1970-1-1-0:41:46,31.8,31.4,1.803301,1.816241,TRUE,FALSE,0.0
1970-1-1-0:41:46,31.8,31.4,1.814771,1.827734,TRUE,FALSE,0.0
1970-1-1-0:41:47,31.8,31.4,1.803301,1.827734,TRUE,FALSE,0.0
1970-1-1-0:41:47,31.8,31.4,1.814771,1.827734,TRUE,FALSE,0.0
1970-1-1-0:41:47,31.8,31.4,1.803301,1.827734,TRUE,FALSE,0.0
1970-1-1-0:41:48,31.8,31.4,1.803301,1.827734,TRUE,FALSE,0.0
1970-1-1-0:41:48,31.8,31.4,1.791832,1.827734,TRUE,FALSE,0.0
1970-1-1-0:41:49,31.8,31.4,1.803301,1.827734,TRUE,FALSE,0.0
1970-1-1-0:41:49,31.8,31.4,1.803301,1.827734,TRUE,TRUE,0.0
1970-1-1-0:41:49,31.8,31.4,1.814771,1.827734,TRUE,TRUE,0.0
1970-1-1-0:41:50,31.8,31.4,1.791832,1.816241,TRUE,TRUE,0.0
1970-1-1-0:41:50,31.8,31.4,1.780362,1.919678,TRUE,TRUE,0.0
1970-1-1-0:41:51,31.8,31.4,1.803301,1.781762,TRUE,TRUE,0.0
1970-1-1-0:41:51,31.8,31.4,1.95241,1.747282,TRUE,TRUE,0.0
1970-1-1-0:41:51,31.8,31.4,1.92947,1.747282,TRUE,TRUE,0.0
1970-1-1-0:41:52,31.8,31.4,1.883591,1.724296,TRUE,TRUE,0.0
1970-1-1-0:41:52,31.8,31.4,1.895061,1.758775,TRUE,TRUE,0.0
1970-1-1-0:41:52,31.8,31.4,1.860651,1.758775,TRUE,TRUE,0.0
1970-1-1-0:41:53,31.8,31.4,1.780362,1.724296,TRUE,TRUE,0.0
1970-1-1-0:41:53,31.8,31.4,1.734482,1.689817,TRUE,TRUE,0.0
1970-1-1-0:41:53,31.8,31.4,1.711542,1.678324,TRUE,TRUE,0.0
1970-1-1-0:41:54,31.8,31.4,1.665663,1.70131,TRUE,TRUE,0.0
1970-1-1-0:41:54,31.8,31.4,1.665663,1.678324,TRUE,TRUE,0.0
1970-1-1-0:41:55,31.8,31.4,1.677133,1.655338,TRUE,TRUE,0.0
1970-1-1-0:41:55,31.8,31.3,1.711542,1.689817,TRUE,TRUE,0.0
1970-1-1-0:41:55,31.8,31.3,1.757422,1.712803,TRUE,TRUE,0.0
1970-1-1-0:41:56,31.8,31.3,1.757422,1.724296,TRUE,TRUE,0.0
1970-1-1-0:41:56,31.8,31.3,1.723012,1.770268,TRUE,TRUE,0.0
1970-1-1-0:41:56,31.8,31.3,1.757422,1.770268,TRUE,TRUE,0.0
1970-1-1-0:41:57,31.8,31.4,1.745952,1.735789,TRUE,TRUE,0.0
1970-1-1-0:41:57,31.8,31.4,1.688603,1.747282,TRUE,TRUE,0.0
1970-1-1-0:41:57,31.8,31.4,1.780362,1.712803,TRUE,TRUE,0.0
1970-1-1-0:41:58,31.8,31.4,1.837711,1.689817,TRUE,TRUE,0.0
1970-1-1-0:41:58,31.8,31.3,1.837711,1.781762,TRUE,TRUE,0.0
1970-1-1-0:41:59,31.8,31.3,1.814771,1.793254,TRUE,TRUE,0.0
1970-1-1-0:41:59,31.8,31.4,1.803301,1.781762,TRUE,TRUE,0.0
1970-1-1-0:41:59,31.8,31.4,1.803301,1.758775,TRUE,TRUE,0.0
1970-1-1-0:42:0,31.8,31.3,1.791832,1.747282,TRUE,TRUE,0.0
1970-1-1-0:42:0,31.8,31.3,1.780362,1.747282,TRUE,TRUE,0.0
1970-1-1-0:42:1,31.8,31.3,1.745952,1.724296,TRUE,TRUE,0.0
1970-1-1-0:42:1,31.8,31.3,1.723012,1.724296,TRUE,TRUE,0.0
1970-1-1-0:42:1,31.8,31.3,1.665663,1.70131,TRUE,TRUE,0.0
1970-1-1-0:42:2,31.8,31.4,1.608313,1.689817,TRUE,TRUE,0.0
1970-1-1-0:42:2,31.8,31.4,1.573904,1.620859,TRUE,TRUE,0.0
1970-1-1-0:42:2,31.8,31.4,1.573904,1.540408,TRUE,TRUE,0.0
1970-1-1-0:42:3,31.7,31.4,1.573904,1.505929,TRUE,TRUE,0.0
1970-1-1-0:42:3,31.7,31.3,1.585374,1.505929,TRUE,TRUE,0.0
1970-1-1-0:42:4,31.7,31.3,1.585374,1.505929,TRUE,TRUE,0.0
1970-1-1-0:42:4,31.7,31.3,1.585374,1.505929,TRUE,TRUE,0.0
1970-1-1-0:42:4,31.8,31.3,1.596844,1.494436,TRUE,TRUE,0.0
1970-1-1-0:42:5,31.8,31.3,1.596844,1.494436,TRUE,TRUE,0.0
1970-1-1-0:42:5,31.8,31.3,1.608313,1.494436,TRUE,TRUE,0.0
1970-1-1-0:42:5,31.8,31.3,1.608313,1.494436,TRUE,TRUE,0.0
1970-1-1-0:42:6,31.7,31.3,1.608313,1.494436,TRUE,TRUE,0.0
1970-1-1-0:42:6,31.7,31.3,1.608313,1.494436,TRUE,TRUE,0.0
1970-1-1-0:42:7,31.8,31.3,1.608313,1.494436,TRUE,TRUE,0.0
1970-1-1-0:42:7,31.8,31.3,1.608313,1.494436,TRUE,TRUE,0.0
1970-1-1-0:42:7,31.8,31.3,1.608313,1.494436,TRUE,TRUE,0.0
1970-1-1-0:42:8,31.8,31.3,1.608313,1.494436,TRUE,FALSE,0.0
1970-1-1-0:42:8,31.8,31.3,1.608313,1.494436,TRUE,FALSE,0.0
1970-1-1-0:42:8,31.7,31.3,1.608313,1.494436,TRUE,FALSE,0.0
1970-1-1-0:42:9,31.7,31.3,1.608313,1.494436,TRUE,FALSE,0.0
1970-1-1-0:42:9,31.7,31.3,1.608313,1.494436,TRUE,FALSE,0.0
1970-1-1-0:42:10,31.7,31.3,1.608313,1.494436,TRUE,FALSE,0.0
1970-1-1-0:42:10,31.7,31.3,1.608313,1.494436,TRUE,FALSE,0.0
1970-1-1-0:42:10,31.7,31.3,1.608313,1.494436,TRUE,FALSE,0.0
1970-1-1-0:42:11,31.7,31.3,1.608313,1.494436,TRUE,FALSE,0.0
1970-1-1-0:42:11,31.7,31.3,1.608313,1.494436,TRUE,FALSE,0.0
1970-1-1-0:42:11,31.7,31.3,1.608313,1.494436,TRUE,FALSE,0.0
1970-1-1-0:42:12,31.7,31.3,1.608313,1.494436,TRUE,TRUE,0.0
1970-1-1-0:42:12,31.7,31.3,1.596844,1.505929,TRUE,TRUE,0.0
1970-1-1-0:42:13,31.7,31.3,1.596844,1.505929,TRUE,TRUE,0.0
1970-1-1-0:42:13,31.7,31.3,1.573904,1.563394,TRUE,TRUE,0.0
