time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y
2015-8-27 11:54:44,62.9,152.3,1.505085,1.080687
2015-8-27 11:54:46,62.9,152.3,1.573904,1.138152
2015-8-27 11:54:47,63,152.2,1.711542,1.230096
2015-8-27 11:54:49,63,152.1,1.826241,1.333533
2015-8-27 11:54:51,63,152,1.757422,1.402492
2015-8-27 11:54:52,63,152,1.700073,1.356519
2015-8-27 11:54:54,63,151.9,1.677133,1.345026
2015-8-27 11:54:55,63,151.9,1.562434,1.356519
2015-8-27 11:54:57,63,151.8,1.562434,1.356519
2015-8-27 11:54:59,63,151.7,1.550964,1.390998
2015-8-27 11:55:0,63,151.7,1.550964,1.390998
2015-8-27 11:55:2,63,151.7,1.550964,1.390998
2015-8-27 11:55:3,63,151.6,1.550964,1.402492
2015-8-27 11:55:5,63,151.6,1.550964,1.402492
2015-8-27 11:55:7,63,151.5,1.550964,1.390998
2015-8-27 11:55:8,63,151.5,1.539494,1.402492
2015-8-27 11:55:10,63,151.5,1.550964,1.402492
2015-8-27 11:55:11,63,151.5,1.401856,1.494436
2015-8-27 11:55:13,63,151.5,1.138048,1.58638
2015-8-27 11:55:15,63,151.5,1.092169,1.689817
2015-8-27 11:55:16,63,151.5,1.034819,1.747282
2015-8-27 11:55:18,63,151.6,1.057759,1.678324
2015-8-27 11:55:19,63,151.6,0.908651,1.540408
2015-8-27 11:55:21,63.1,151.7,0.0254699,1.47145
2015-8-27 11:55:23,63,151.7,0.014,1.333533
2015-8-27 11:55:24,63.1,151.7,0.014,1.126659
2015-8-27 11:55:26,63.1,151.7,0.014,1.069194
2015-8-27 11:55:27,63.1,151.7,0.014,1.034715
2015-8-27 11:55:29,63.1,151.8,0.014,1.115166
2015-8-27 11:55:31,63.1,151.7,0.014,0.632459
2015-8-27 11:55:32,63.1,151.8,0.014,0.000342
2015-8-27 11:55:34,63.1,151.8,0.014,0.000342
2015-8-27 11:55:35,63.1,151.8,0.014,0.000342
2015-8-27 11:55:37,63.1,151.8,0.014,0.000342
2015-8-27 11:55:39,63.1,151.7,0.014,0.000342
2015-8-27 11:55:40,63.1,151.8,0.014,0.000342
2015-8-27 11:55:42,63.1,151.8,0.014,0.000342
2015-8-27 11:55:43,63.1,151.7,0.014,0.000342
2015-8-27 11:55:45,63.1,151.7,0.014,0.000342
2015-8-27 11:55:47,63.1,151.7,0.014,0.000342
2015-8-27 11:55:48,63,151.7,0.495735,0.000342
2015-8-27 11:55:50,63,151.6,0.839831,0.000342
2015-8-27 11:55:51,63.1,151.6,0.98894,0.000342
2015-8-27 11:55:53,63.1,151.5,1.02335,0.000342
2015-8-27 11:55:55,63.1,151.5,1.034819,0.000342
2015-8-27 11:55:56,63.1,151.5,1.057759,0.000342
2015-8-27 11:55:58,63.1,151.4,1.046289,0.000342
2015-8-27 11:55:59,63.1,151.4,1.00041,0.000342
2015-8-27 11:56:1,63.1,151.3,0.966,0.000342
2015-8-27 11:56:3,63.1,151.2,0.966,0.000342
2015-8-27 11:56:4,63.1,151.2,0.95453,0.000342
2015-8-27 11:56:6,63.1,151.1,0.95453,0.000342
2015-8-27 11:56:7,63.1,151.1,0.95453,0.000342
2015-8-27 11:56:9,63.1,151,0.94306,0.000342
2015-8-27 11:56:11,63.1,151,1.00041,0.000342
2015-8-27 11:56:12,63.1,151,1.126578,0.000342
2015-8-27 11:56:14,63.1,150.9,1.138048,0.000342
2015-8-27 11:56:15,63.1,150.9,1.138048,0.000342
2015-8-27 11:56:17,63,150.9,1.183928,0.000342
2015-8-27 11:56:19,63,150.8,1.195398,0.000342
2015-8-27 11:56:20,63,150.8,1.229807,0.000342
2015-8-27 11:56:22,63,150.8,1.355976,0.391105
2015-8-27 11:56:23,63,150.8,1.401856,0.0233281
2015-8-27 11:56:25,63,150.8,1.447735,0.94277
2015-8-27 11:56:27,63,150.8,1.528024,0.977249
2015-8-27 11:56:28,63,150.8,1.539494,1.000236
2015-8-27 11:56:30,63,150.8,1.516554,1.023222
2015-8-27 11:56:31,63,150.8,1.459205,1.057701
2015-8-27 11:56:33,63.1,150.9,1.390386,1.195617
2015-8-27 11:56:35,63,150.9,1.333036,1.218603
2015-8-27 11:56:36,63.1,150.9,1.275687,1.287561
2015-8-27 11:56:38,63.1,150.9,1.218338,1.368012
2015-8-27 11:56:39,63.1,151,1.206868,1.390998
2015-8-27 11:56:41,63.1,151,1.195398,1.379506
2015-8-27 11:56:43,63.1,151,1.172458,1.32204
2015-8-27 11:56:44,63.1,151,1.138048,1.241589
2015-8-27 11:56:46,63.1,151,1.126578,1.230096
2015-8-27 11:56:47,63.1,151,1.126578,1.138152
2015-8-27 11:56:49,63.1,151,1.103639,1.115166
2015-8-27 11:56:51,63.1,151,1.092169,1.069194
2015-8-27 11:56:52,63.1,151,1.057759,1.034715
2015-8-27 11:56:54,63.1,151,1.057759,1.011729
2015-8-27 11:56:55,63.1,151,1.046289,0.977249
2015-8-27 11:56:57,63.1,150.9,1.034819,0.965756
2015-8-27 11:56:59,63.2,150.9,1.046289,0.965756
2015-8-27 11:57:0,63.1,150.9,1.069229,0.460063
2015-8-27 11:57:2,63.2,150.8,1.092169,0.517528
2015-8-27 11:57:3,63.2,150.8,1.115109,0.161244
2015-8-27 11:57:5,63.2,150.7,1.092169,0.000342
2015-8-27 11:57:7,63.2,150.6,1.069229,0.000342
2015-8-27 11:57:8,63.2,150.6,1.057759,0.000342
2015-8-27 11:57:10,63.2,150.6,1.01188,0.000342
2015-8-27 11:57:11,63.2,150.5,0.97747,0.529021
2015-8-27 11:57:13,63.2,150.5,0.828362,0.460063
2015-8-27 11:57:15,63.2,150.4,0.0942892,0.94277
2015-8-27 11:57:16,63.2,150.3,0.208988,0.885305
2015-8-27 11:57:18,63.2,150.3,0.151639,0.586486
2015-8-27 11:57:19,63.2,150.3,0.966,0.172737
2015-8-27 11:57:21,63.2,150.2,1.034819,0.000342
2015-8-27 11:57:23,63.2,150.2,1.092169,0.000342
2015-8-27 11:57:24,63.2,150.1,1.149518,0.000342
2015-8-27 11:57:26,63.2,150.1,1.172458,0.000342
2015-8-27 11:57:27,63.2,150.1,1.206868,0.000342
2015-8-27 11:57:29,63.2,150,1.241277,0.000342
2015-8-27 11:57:31,63.2,150,1.275687,0.000342
2015-8-27 11:57:32,63.2,150,1.298627,0.000342
2015-8-27 11:57:34,63.2,150,1.310097,0.0578071
2015-8-27 11:57:35,63.2,150,1.287157,0.71291
2015-8-27 11:57:37,63.2,150,1.252747,0.988742
2015-8-27 11:57:39,63.2,150,1.241277,1.011729
2015-8-27 11:57:40,63.2,150.1,1.206868,1.057701
2015-8-27 11:57:42,63.2,150.2,1.206868,1.103673
2015-8-27 11:57:43,63.2,150.2,1.218338,1.138152
2015-8-27 11:57:45,63.2,150.3,1.195398,1.149645
2015-8-27 11:57:47,63.2,150.4,1.183928,1.184124
2015-8-27 11:57:48,63.2,150.5,1.172458,1.161138
2015-8-27 11:57:50,63.2,150.6,1.172458,1.149645
2015-8-27 11:57:51,63.2,150.7,1.183928,1.126659
2015-8-27 11:57:53,63.2,150.9,1.172458,1.126659
2015-8-27 11:57:55,63.2,151,1.138048,1.138152
2015-8-27 11:57:56,63.2,151.2,1.138048,1.115166
2015-8-27 11:57:58,63.3,151.3,1.115109,1.115166
2015-8-27 11:57:59,63.3,151.5,1.092169,1.103673
2015-8-27 11:58:1,63.3,151.6,1.069229,1.103673
2015-8-27 11:58:3,63.3,151.7,1.034819,1.115166
2015-8-27 11:58:4,63.3,151.8,1.034819,1.126659
2015-8-27 11:58:6,63.2,151.9,1.034819,1.138152
2015-8-27 11:58:7,63.2,152,1.034819,1.149645
2015-8-27 11:58:9,63.2,152.1,1.034819,1.115166
2015-8-27 11:58:11,63.3,152.3,1.046289,1.115166
2015-8-27 11:58:12,63.2,152.4,1.034819,1.115166
2015-8-27 11:58:14,63.2,152.4,1.057759,1.115166
2015-8-27 11:58:15,63.3,152.5,1.01188,1.115166
2015-8-27 11:58:17,63.3,152.6,1.00041,1.115166
2015-8-27 11:58:19,63.3,152.6,0.98894,1.115166
2015-8-27 11:58:20,63.3,152.6,0.98894,1.103673
2015-8-27 11:58:22,63.3,152.6,0.966,1.126659
2015-8-27 11:58:23,63.3,152.7,1.01188,1.115166
2015-8-27 11:58:25,63.3,152.7,1.138048,1.080687
2015-8-27 11:58:27,63.3,152.6,1.229807,1.069194
2015-8-27 11:58:28,63.3,152.7,1.126578,1.057701
2015-8-27 11:58:30,63.3,152.6,1.126578,1.046208
2015-8-27 11:58:31,63.3,152.6,1.172458,1.023222
2015-8-27 11:58:33,63.3,152.6,1.183928,1.023222
2015-8-27 11:58:35,63.3,152.6,1.195398,1.023222
2015-8-27 11:58:36,63.3,152.5,1.229807,1.138152
2015-8-27 11:58:38,63.3,152.5,1.252747,1.20711
2015-8-27 11:58:39,63.3,152.4,1.287157,1.115166
2015-8-27 11:58:41,63.3,152.4,1.333036,1.115166
2015-8-27 11:58:43,63.3,152.3,1.367446,1.138152
2015-8-27 11:58:44,63.3,152.3,1.390386,1.172631
2015-8-27 11:58:46,63.3,152.2,1.413326,1.20711
2015-8-27 11:58:47,63.4,152.2,1.390386,1.230096
2015-8-27 11:58:49,63.4,152.1,1.367446,1.264575
2015-8-27 11:58:51,63.4,152,1.367446,1.287561
2015-8-27 11:58:52,63.4,152,1.355976,1.356519
