time,PARO,S por vuelta de ex
2015-21-7-11:41:21,TRUE,T#29s
2015-21-7-11:41:22,TRUE,T#29s
2015-21-7-11:41:24,TRUE,T#29s
2015-21-7-11:41:25,TRUE,T#29s
2015-21-7-11:41:27,TRUE,T#29s
2015-21-7-11:41:28,TRUE,T#29s
2015-21-7-11:41:29,TRUE,T#29s
2015-21-7-11:41:31,TRUE,T#29s
2015-21-7-11:41:32,TRUE,T#29s
2015-21-7-11:41:34,TRUE,T#29s
2015-21-7-11:41:35,TRUE,T#29s
2015-21-7-11:41:36,TRUE,T#29s
2015-21-7-11:41:38,TRUE,T#29s
2015-21-7-11:41:39,TRUE,T#29s
2015-21-7-11:41:41,TRUE,T#29s
2015-21-7-11:41:42,TRUE,T#29s
2015-21-7-11:41:43,TRUE,T#30s
2015-21-7-11:41:45,TRUE,T#30s
2015-21-7-11:41:46,TRUE,T#30s
2015-21-7-11:41:48,TRUE,T#30s
2015-21-7-11:41:49,TRUE,T#30s
2015-21-7-11:41:50,TRUE,T#30s
2015-21-7-11:41:52,TRUE,T#30s
2015-21-7-11:41:53,TRUE,T#30s
2015-21-7-11:41:55,TRUE,T#30s
2015-21-7-11:41:56,TRUE,T#30s
2015-21-7-11:41:57,TRUE,T#30s
2015-21-7-11:41:59,TRUE,T#30s
2015-21-7-11:42:0,TRUE,T#30s
2015-21-7-11:42:2,TRUE,T#30s
2015-21-7-11:42:3,TRUE,T#30s
2015-21-7-11:42:4,TRUE,T#30s
2015-21-7-11:42:6,TRUE,T#30s
2015-21-7-11:42:7,TRUE,T#30s
2015-21-7-11:42:9,TRUE,T#30s
2015-21-7-11:42:10,TRUE,T#30s
2015-21-7-11:42:11,TRUE,T#30s
2015-21-7-11:42:13,TRUE,T#30s
2015-21-7-11:42:14,TRUE,T#30s1ms
2015-21-7-11:42:16,TRUE,T#30s1ms
2015-21-7-11:42:17,TRUE,T#30s1ms
2015-21-7-11:42:18,TRUE,T#30s1ms
2015-21-7-11:42:20,TRUE,T#30s1ms
2015-21-7-11:42:21,TRUE,T#30s1ms
2015-21-7-11:42:23,TRUE,T#30s1ms
2015-21-7-11:42:24,TRUE,T#30s1ms
2015-21-7-11:42:25,TRUE,T#30s1ms
2015-21-7-11:42:27,TRUE,T#30s1ms
2015-21-7-11:42:28,TRUE,T#30s1ms
2015-21-7-11:42:30,TRUE,T#30s1ms
2015-21-7-11:42:31,TRUE,T#30s1ms
2015-21-7-11:42:32,TRUE,T#30s1ms
2015-21-7-11:42:34,TRUE,T#30s1ms
2015-21-7-11:42:35,TRUE,T#30s1ms
2015-21-7-11:42:37,TRUE,T#30s1ms
2015-21-7-11:42:38,TRUE,T#30s1ms
2015-21-7-11:42:39,TRUE,T#30s1ms
2015-21-7-11:42:41,TRUE,T#30s1ms
2015-21-7-11:42:42,TRUE,T#30s1ms
2015-21-7-11:42:44,TRUE,T#29s999ms
2015-21-7-11:42:45,TRUE,T#29s999ms
2015-21-7-11:42:46,TRUE,T#29s999ms
2015-21-7-11:42:48,TRUE,T#29s999ms
2015-21-7-11:42:49,TRUE,T#29s999ms
2015-21-7-11:42:51,TRUE,T#29s999ms
2015-21-7-11:42:52,TRUE,T#29s999ms
2015-21-7-11:42:53,TRUE,T#29s999ms
2015-21-7-11:42:55,TRUE,T#29s999ms
2015-21-7-11:42:56,TRUE,T#29s999ms
2015-21-7-11:42:58,TRUE,T#29s999ms
2015-21-7-11:42:59,TRUE,T#29s999ms
2015-21-7-11:43:0,TRUE,T#29s999ms
2015-21-7-11:43:2,TRUE,T#29s999ms
2015-21-7-11:43:3,TRUE,T#29s999ms
2015-21-7-11:43:5,TRUE,T#29s999ms
2015-21-7-11:43:6,TRUE,T#29s999ms
2015-21-7-11:43:7,TRUE,T#29s999ms
2015-21-7-11:43:9,TRUE,T#29s999ms
2015-21-7-11:43:10,TRUE,T#29s999ms
2015-21-7-11:43:12,TRUE,T#29s999ms
2015-21-7-11:43:13,TRUE,T#29s
2015-21-7-11:43:14,TRUE,T#29s
2015-21-7-11:43:16,TRUE,T#29s
2015-21-7-11:43:17,TRUE,T#29s
2015-21-7-11:43:19,TRUE,T#29s
2015-21-7-11:43:20,TRUE,T#29s
2015-21-7-11:43:21,TRUE,T#29s
2015-21-7-11:43:23,TRUE,T#29s
2015-21-7-11:43:24,TRUE,T#29s
2015-21-7-11:43:26,TRUE,T#29s
2015-21-7-11:43:27,TRUE,T#29s
