time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MEDIA,MARCHA,PARO,VELOCIDAD,,
2015-14-7-9:52:15,60.5,136,2.101518,2.184017,2.1427675,TRUE,TRUE,5,,
2015-14-7-9:52:17,60.5,136,2.090049,2.115059,2.102554,TRUE,TRUE,5,,
2015-14-7-9:52:18,60.5,136.1,2.135928,2.103566,2.119747,TRUE,TRUE,5,,
2015-14-7-9:52:20,60.5,136.1,2.158868,2.08058,2.119724,TRUE,TRUE,5,,
2015-14-7-9:52:21,60.6,136.1,2.204747,2.08058,2.1426635,TRUE,TRUE,5,,
2015-14-7-9:52:22,60.6,136.1,2.124458,2.149539,2.1369985,TRUE,TRUE,5,,
2015-14-7-9:52:24,60.6,136,2.067109,2.218497,2.142803,TRUE,TRUE,5,,
2015-14-7-9:52:25,60.6,136,2.021229,2.161031,2.09113,TRUE,TRUE,5,,
2015-14-7-9:52:27,60.6,135.7,1.95241,2.138045,2.0452275,TRUE,TRUE,5,,
2015-14-7-9:52:28,60.6,135.6,1.94094,2.092073,2.0165065,TRUE,TRUE,5,,
2015-14-7-9:52:29,60.6,135.6,1.96388,2.023115,1.9934975,TRUE,TRUE,5,,
2015-14-7-9:52:31,60.6,135.5,1.97535,1.96565,1.9705,TRUE,TRUE,5,,
2015-14-7-9:52:32,60.6,135.4,1.97535,1.977143,1.9762465,TRUE,TRUE,5,,
2015-14-7-9:52:34,60.6,135.4,1.97535,1.988636,1.981993,TRUE,TRUE,5,,
2015-14-7-9:52:35,60.6,135.4,2.009759,2.023115,2.016437,TRUE,TRUE,5,,
2015-14-7-9:52:36,60.6,135.4,1.94094,2.023115,1.9820275,TRUE,TRUE,5,,
2015-14-7-9:52:38,60.6,135.4,1.918,2.057594,1.987797,TRUE,TRUE,5,,
2015-14-7-9:52:39,60.5,135.3,1.860651,1.96565,1.9131505,TRUE,TRUE,5,,
2015-14-7-9:52:41,60.5,135.3,1.883591,1.908185,1.895888,TRUE,TRUE,5,,
2015-14-7-9:52:42,60.5,135.3,2.009759,1.873706,1.9417325,TRUE,TRUE,5,,
