time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MEDIA,MARCHA,PARO,VELOCIDAD
2015-14-7 9:58:28,61.2,134.6,1.883591,1.862213,1.872902,TRUE,TRUE,0.75
2015-14-7 9:58:29,61.2,134.9,1.837711,1.862213,1.849962,TRUE,TRUE,0.75
2015-14-7 9:58:31,61.2,135.2,1.814771,1.885199,1.849985,TRUE,TRUE,0.75
2015-14-7 9:58:32,61.2,135.3,1.826241,1.885199,1.85572,TRUE,TRUE,0.75
2015-14-7 9:58:34,61.2,135.6,1.780362,1.896692,1.838527,TRUE,TRUE,0.75
2015-14-7 9:58:35,61.2,135.8,1.745952,1.873706,1.809829,TRUE,TRUE,0.75
2015-14-7 9:58:36,61.2,136.1,1.734482,1.862213,1.7983475,TRUE,TRUE,0.75
2015-14-7 9:58:38,61.2,136.2,1.768892,1.839227,1.8040595,TRUE,TRUE,0.75
2015-14-7 9:58:39,61.2,136.3,1.723012,1.781762,1.752387,TRUE,TRUE,0.75
2015-14-7 9:58:41,61.2,136.5,1.665663,1.758775,1.712219,TRUE,TRUE,0.75
2015-14-7 9:58:42,61.2,136.7,1.608313,1.747282,1.6777975,TRUE,TRUE,0.75
2015-14-7 9:58:43,61.2,136.7,1.642723,1.781762,1.7122425,TRUE,TRUE,0.75
2015-14-7 9:58:45,61.2,136.9,1.745952,1.747282,1.746617,TRUE,TRUE,0.75
2015-14-7 9:58:46,61.2,137,1.780362,1.666831,1.7235965,TRUE,TRUE,0.75
2015-14-7 9:58:48,61.2,137,1.814771,1.597873,1.706322,TRUE,TRUE,0.75
2015-14-7 9:58:49,61.2,137.1,1.814771,1.574887,1.694829,TRUE,TRUE,0.75
2015-14-7 9:58:50,61.2,137.2,1.780362,1.689817,1.7350895,TRUE,TRUE,0.75
2015-14-7 9:58:52,61.1,137.4,1.757422,1.724296,1.740859,TRUE,TRUE,0.75
2015-14-7 9:58:53,61.1,137.5,1.734482,1.793254,1.763868,TRUE,TRUE,0.75
2015-14-7 9:58:55,61.1,137.5,1.814771,1.781762,1.7982665,TRUE,TRUE,0.75
2015-14-7 9:58:56,61.1,137.5,1.872121,1.770268,1.8211945,TRUE,TRUE,0.75
2015-14-7 9:58:57,61.1,137.5,1.918,1.735789,1.8268945,TRUE,TRUE,0.75
2015-14-7 9:58:59,61.1,137.5,1.95241,1.712803,1.8326065,TRUE,TRUE,0.75
2015-14-7 9:59:0,61.1,137.6,1.95241,1.781762,1.867086,TRUE,TRUE,0.75
2015-14-7 9:59:2,61.1,137.6,2.009759,1.839227,1.924493,TRUE,TRUE,0.75
2015-14-7 9:59:3,61.1,137.6,2.044169,1.862213,1.953191,TRUE,TRUE,0.75
2015-14-7 9:59:4,61.1,137.6,2.055639,1.908185,1.981912,TRUE,TRUE,0.75
2015-14-7 9:59:6,61.1,137.6,2.055639,1.931171,1.993405,TRUE,TRUE,0.75
2015-14-7 9:59:7,61.1,137.6,1.98682,1.942664,1.964742,TRUE,TRUE,0.75
2015-14-7 9:59:9,61.1,137.6,1.918,2.000129,1.9590645,TRUE,TRUE,0.75
2015-14-7 9:59:10,61.1,137.6,1.814771,2.011622,1.9131965,TRUE,TRUE,5
2015-14-7 9:59:11,61.1,137.6,1.745952,2.000129,1.8730405,TRUE,TRUE,5
2015-14-7 9:59:13,61.2,137.6,1.723012,1.85072,1.786866,TRUE,TRUE,5
2015-14-7 9:59:14,61.2,137.7,1.677133,1.747282,1.7122075,TRUE,TRUE,5
2015-14-7 9:59:16,61.2,137.7,1.631253,1.747282,1.6892675,TRUE,TRUE,5
2015-14-7 9:59:17,61.2,137.6,1.470675,1.689817,1.580246,TRUE,TRUE,5
2015-14-7 9:59:18,61.2,137.6,1.539494,1.666831,1.6031625,TRUE,TRUE,5
2015-14-7 9:59:20,61.2,137.5,1.677133,1.517422,1.5972775,TRUE,TRUE,5
2015-14-7 9:59:21,61.2,137.5,1.814771,1.528915,1.671843,TRUE,TRUE,5
2015-14-7 9:59:23,61.2,137.5,1.872121,1.643845,1.757983,TRUE,TRUE,5
2015-14-7 9:59:24,61.3,137.5,1.849181,1.816241,1.832711,TRUE,TRUE,5
2015-14-7 9:59:25,61.3,137.5,1.814771,1.885199,1.849985,TRUE,TRUE,5
2015-14-7 9:59:27,61.3,137.4,1.791832,1.885199,1.8385155,TRUE,TRUE,5
2015-14-7 9:59:28,61.3,137.4,1.826241,1.862213,1.844227,TRUE,TRUE,5
2015-14-7 9:59:30,61.4,137.3,1.791832,1.827734,1.809783,TRUE,TRUE,5
2015-14-7 9:59:31,61.3,137.3,1.711542,1.85072,1.781131,TRUE,TRUE,5
2015-14-7 9:59:32,61.4,137.2,1.700073,1.804748,1.7524105,TRUE,TRUE,5
2015-14-7 9:59:34,61.4,137.1,1.757422,1.770268,1.763845,TRUE,TRUE,5
2015-14-7 9:59:35,61.4,137,1.94094,1.70131,1.821125,TRUE,TRUE,5
2015-14-7 9:59:37,61.4,136.9,2.021229,1.770268,1.8957485,TRUE,TRUE,5
2015-14-7 9:59:38,61.4,136.7,1.872121,1.942664,1.9073925,TRUE,TRUE,5
2015-14-7 9:59:39,61.4,136.7,1.768892,2.034608,1.90175,TRUE,TRUE,5
2015-14-7 9:59:41,61.4,136.7,1.757422,1.931171,1.8442965,TRUE,TRUE,5
2015-14-7 9:59:42,61.4,136.6,1.872121,1.827734,1.8499275,TRUE,TRUE,5
2015-14-7 9:59:44,61.4,136.5,1.768892,1.793254,1.781073,TRUE,TRUE,5
2015-14-7 9:59:45,61.4,136.3,1.677133,1.885199,1.781166,TRUE,TRUE,5
2015-14-7 9:59:46,61.4,136.2,1.608313,1.816241,1.712277,TRUE,TRUE,5
2015-14-7 9:59:48,61.4,136.2,1.631253,1.712803,1.672028,TRUE,TRUE,5
2015-14-7 9:59:49,61.4,136.2,1.642723,1.620859,1.631791,TRUE,TRUE,5
2015-14-7 9:59:51,61.4,136.2,1.665663,1.655338,1.6605005,TRUE,TRUE,5
2015-14-7 9:59:52,61.4,136.1,1.700073,1.655338,1.6777055,TRUE,TRUE,5
2015-14-7 9:59:53,61.4,136.1,1.665663,1.666831,1.666247,TRUE,TRUE,5
2015-14-7 9:59:55,61.4,136,1.562434,1.655338,1.608886,TRUE,TRUE,5
2015-14-7 9:59:56,61.4,135.9,1.459205,1.632352,1.5457785,TRUE,TRUE,5
2015-14-7 9:59:58,61.4,135.9,1.573904,1.563394,1.568649,TRUE,TRUE,5
2015-14-7 9:59:59,61.4,135.9,1.757422,1.505929,1.6316755,TRUE,TRUE,5
2015-14-7 10:0:0,61.4,135.9,1.654193,1.58638,1.6202865,TRUE,TRUE,5
2015-14-7 10:0:2,61.4,135.9,1.447735,1.563394,1.5055645,TRUE,TRUE,5
2015-14-7 10:0:3,61.4,135.8,1.344506,1.517422,1.430964,TRUE,TRUE,5
2015-14-7 10:0:5,61.4,135.8,1.298627,1.425478,1.3620525,TRUE,TRUE,5
2015-14-7 10:0:6,61.4,135.8,1.355976,1.333533,1.3447545,TRUE,TRUE,5
2015-14-7 10:0:7,61.4,135.8,1.447735,1.333533,1.390634,TRUE,TRUE,5
2015-14-7 10:0:9,61.4,135.7,1.493615,1.356519,1.425067,TRUE,TRUE,5
2015-14-7 10:0:10,61.4,135.7,1.505085,1.436971,1.471028,TRUE,TRUE,5
2015-14-7 10:0:12,61.4,135.7,1.516554,1.448464,1.482509,TRUE,TRUE,5
2015-14-7 10:0:13,61.4,135.8,1.482145,1.448464,1.4653045,TRUE,TRUE,5
2015-14-7 10:0:14,61.4,135.8,1.447735,1.482943,1.465339,TRUE,TRUE,5
2015-14-7 10:0:16,61.4,135.8,1.482145,1.425478,1.4538115,TRUE,TRUE,5
2015-14-7 10:0:17,61.4,135.7,1.631253,1.413985,1.522619,TRUE,TRUE,5
2015-14-7 10:0:19,61.4,135.6,1.608313,1.436971,1.522642,TRUE,TRUE,5
2015-14-7 10:0:20,61.4,135.6,1.619783,1.448464,1.5341235,TRUE,TRUE,5
2015-14-7 10:0:21,61.4,135.6,1.654193,1.436971,1.545582,TRUE,TRUE,5
2015-14-7 10:0:23,61.4,135.6,1.608313,1.459957,1.534135,TRUE,TRUE,5
2015-14-7 10:0:24,61.4,135.6,1.585374,1.448464,1.516919,TRUE,TRUE,5
2015-14-7 10:0:26,61.4,135.6,1.539494,1.448464,1.493979,TRUE,TRUE,5
2015-14-7 10:0:27,61.4,135.7,1.608313,1.448464,1.5283885,TRUE,TRUE,5
2015-14-7 10:0:28,61.4,135.6,1.539494,1.413985,1.4767395,TRUE,TRUE,5
2015-14-7 10:0:30,61.3,135.5,1.505085,1.448464,1.4767745,TRUE,TRUE,5
2015-14-7 10:0:31,61.3,135.5,1.367446,1.448464,1.407955,TRUE,TRUE,5
2015-14-7 10:0:33,61.3,135.6,1.355976,1.413985,1.3849805,TRUE,TRUE,5
2015-14-7 10:0:34,61.3,135.6,1.367446,1.356519,1.3619825,TRUE,TRUE,5
2015-14-7 10:0:35,61.3,135.5,1.355976,1.333533,1.3447545,TRUE,TRUE,5
2015-14-7 10:0:37,61.3,135.5,1.401856,1.379506,1.390681,TRUE,TRUE,5
2015-14-7 10:0:38,61.2,135.4,1.401856,1.379506,1.390681,TRUE,TRUE,5
