time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,VELOCIDAD
2015-20-7-11:5:45,61.2,140,1.78,1.49,TRUE,FALSE,0.5
2015-20-7-11:5:47,61.2,139.9,1.79,1.54,TRUE,FALSE,0.5
2015-20-7-11:5:48,61.2,139.9,1.78,1.66,TRUE,FALSE,0.5
2015-20-7-11:5:49,61.2,140,1.81,1.82,TRUE,FALSE,0.5
2015-20-7-11:5:51,61.2,140,1.81,1.83,TRUE,FALSE,0.5
2015-20-7-11:5:52,61.2,139.9,1.80,1.78,TRUE,FALSE,0.5
2015-20-7-11:5:54,61.3,140,1.80,1.76,TRUE,FALSE,0.5
2015-20-7-11:5:55,61.3,140,1.79,1.78,TRUE,FALSE,0.5
2015-20-7-11:5:56,61.3,140,1.76,1.75,TRUE,FALSE,0.5
2015-20-7-11:5:58,61.3,140,1.65,1.72,TRUE,FALSE,0.5
2015-20-7-11:5:59,61.3,140.2,1.42,1.70,TRUE,FALSE,0.5
2015-20-7-11:6:1,61.3,140.3,1.29,1.69,TRUE,FALSE,0.5
2015-20-7-11:6:2,61.4,140.3,1.53,1.66,TRUE,FALSE,0.5
2015-20-7-11:6:3,61.4,140.4,1.48,1.49,TRUE,FALSE,0.5
2015-20-7-11:6:5,61.4,140.4,1.41,1.36,TRUE,FALSE,0.5
2015-20-7-11:6:6,61.4,140.3,1.33,1.29,TRUE,FALSE,0.5
2015-20-7-11:6:8,61.4,140.4,1.37,1.51,TRUE,FALSE,0.5
2015-20-7-11:6:9,61.4,140.4,1.60,1.44,TRUE,FALSE,0.5
2015-20-7-11:6:10,61.4,140.4,1.67,1.35,TRUE,FALSE,0.5
2015-20-7-11:6:12,61.4,140.4,1.57,1.31,TRUE,FALSE,0.5
2015-20-7-11:6:13,61.4,140.4,1.60,1.32,TRUE,FALSE,0.5
2015-20-7-11:6:15,61.4,140.3,1.57,1.40,TRUE,FALSE,0.5
2015-20-7-11:6:16,61.4,140.3,1.61,1.61,TRUE,FALSE,0.5
2015-20-7-11:6:17,61.4,140.3,1.68,1.69,TRUE,FALSE,0.5
2015-20-7-11:6:19,61.4,140.2,1.68,1.75,TRUE,FALSE,0.5
2015-20-7-11:6:20,61.4,140.2,1.62,1.74,TRUE,FALSE,0.5
2015-20-7-11:6:22,61.4,140.1,1.57,1.72,TRUE,FALSE,0.5
2015-20-7-11:6:23,61.4,140.1,1.62,1.76,TRUE,FALSE,0.5
2015-20-7-11:6:24,61.4,140.1,1.70,1.72,TRUE,FALSE,0.5
2015-20-7-11:6:26,61.4,140,1.70,1.66,TRUE,FALSE,0.5
2015-20-7-11:6:27,61.4,140,1.72,1.62,TRUE,FALSE,0.5
2015-20-7-11:6:29,61.3,139.9,1.70,1.72,TRUE,FALSE,0.5
2015-20-7-11:6:30,61.3,139.9,1.65,1.76,TRUE,FALSE,0.5
2015-20-7-11:6:31,61.3,139.8,1.63,1.70,TRUE,FALSE,0.5
2015-20-7-11:6:33,61.3,139.6,1.53,1.67,TRUE,FALSE,0.5
2015-20-7-11:6:34,61.3,139.5,1.48,1.62,TRUE,FALSE,0.5
2015-20-7-11:6:36,61.3,139.5,1.55,1.54,TRUE,FALSE,0.5
2015-20-7-11:6:37,61.3,139.3,1.47,1.55,TRUE,FALSE,0.5
2015-20-7-11:6:38,61.3,139.3,1.45,1.49,TRUE,FALSE,0.5
2015-20-7-11:6:40,61.3,139.3,1.78,1.53,TRUE,FALSE,0.5
2015-20-7-11:6:41,61.3,139.3,2.16,1.59,TRUE,FALSE,0.5
2015-20-7-11:6:43,61.3,139.3,1.86,1.53,TRUE,FALSE,0.5
2015-20-7-11:6:44,61.3,139.3,1.63,1.54,TRUE,FALSE,0.5
2015-20-7-11:6:45,61.2,139.3,1.54,1.84,TRUE,FALSE,0.5
2015-20-7-11:6:47,61.3,139.3,1.42,2.26,TRUE,FALSE,0.5
2015-20-7-11:6:48,61.3,139.2,1.34,1.87,TRUE,FALSE,0.5
2015-20-7-11:6:50,61.3,139.1,1.33,1.66,TRUE,FALSE,0.5
2015-20-7-11:6:51,61.3,139.1,1.44,1.53,TRUE,FALSE,0.5
2015-20-7-11:6:52,61.4,139.2,1.53,1.43,TRUE,FALSE,0.5
2015-20-7-11:6:54,61.4,139.2,1.69,1.35,TRUE,FALSE,0.5
2015-20-7-11:6:55,61.4,139.2,1.77,1.35,TRUE,FALSE,0.5
2015-20-7-11:6:57,61.4,139.3,1.78,1.41,TRUE,FALSE,0.5
2015-20-7-11:6:58,61.4,139.3,1.76,1.47,TRUE,FALSE,0.5
2015-20-7-11:6:59,61.4,139.3,1.62,1.59,TRUE,FALSE,0.5
2015-20-7-11:7:1,61.4,139.3,1.57,1.67,TRUE,FALSE,0.5
2015-20-7-11:7:2,61.4,139.2,1.42,1.62,TRUE,FALSE,0.5
2015-20-7-11:7:4,61.4,139.1,1.53,1.64,TRUE,FALSE,0.5
2015-20-7-11:7:5,61.4,139,1.60,1.56,TRUE,FALSE,0.5
2015-20-7-11:7:6,61.4,139,1.59,1.52,TRUE,FALSE,0.5
2015-20-7-11:7:8,61.4,139,1.56,1.52,TRUE,FALSE,0.5
2015-20-7-11:7:9,61.4,139,1.55,1.66,TRUE,FALSE,0.5
2015-20-7-11:7:11,61.4,139.1,1.46,1.68,TRUE,FALSE,0.5
2015-20-7-11:7:12,61.4,139.2,1.37,1.57,TRUE,FALSE,0.5
2015-20-7-11:7:13,61.4,139.5,1.28,1.55,TRUE,FALSE,0.5
2015-20-7-11:7:15,61.3,139.6,1.54,1.45,TRUE,FALSE,0.5
2015-20-7-11:7:16,61.3,139.7,2.02,1.30,TRUE,FALSE,0.5
2015-20-7-11:7:18,61.3,139.9,1.96,1.25,TRUE,FALSE,0.5
2015-20-7-11:7:19,61.3,140,1.92,1.25,TRUE,FALSE,0.5
2015-20-7-11:7:20,61.3,140.2,1.93,1.26,TRUE,FALSE,0.5
