time,Tmp Husillo [C],Tmp Nozzle [C],Diametro X [mm],Diametro Y [mm],MARCHA,PARO,RPM
2015-20-7-10:7:23,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:7:24,24,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:7:26,24,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:7:27,24,24.1,1.76,1.72,TRUE,FALSE,3.219
2015-20-7-10:7:28,24,24.1,1.76,1.71,TRUE,FALSE,3.219
2015-20-7-10:7:30,24,24.1,1.75,1.72,TRUE,FALSE,3.219
2015-20-7-10:7:31,24,24.1,1.76,1.71,TRUE,FALSE,3.219
2015-20-7-10:7:33,24,24.1,1.75,1.72,TRUE,FALSE,3.219
2015-20-7-10:7:34,24,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:7:35,24,24.1,1.75,1.74,TRUE,FALSE,3.219
2015-20-7-10:7:37,24,24.1,1.73,1.74,TRUE,FALSE,3.219
2015-20-7-10:7:38,24,24.1,1.73,1.75,TRUE,FALSE,3.219
2015-20-7-10:7:40,24,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:7:41,24,24.1,1.75,1.75,TRUE,FALSE,3.219
2015-20-7-10:7:42,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:7:44,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:7:45,24,24.1,1.73,1.76,TRUE,FALSE,3.219
2015-20-7-10:7:47,24,24.1,1.72,1.76,TRUE,FALSE,3.219
2015-20-7-10:7:48,24,24.1,1.72,1.75,TRUE,FALSE,3.219
2015-20-7-10:7:49,24,24.1,1.72,1.75,TRUE,FALSE,3.219
2015-20-7-10:7:51,24,24.1,1.71,1.76,TRUE,FALSE,3.219
2015-20-7-10:7:52,24,24.1,1.72,1.76,TRUE,FALSE,3.219
2015-20-7-10:7:54,24,24.1,1.7,1.76,TRUE,FALSE,3.219
2015-20-7-10:7:55,24,24.1,1.7,1.76,TRUE,FALSE,3.219
2015-20-7-10:7:56,24,24.1,1.72,1.76,TRUE,FALSE,3.219
